1572821,2022-07-15,1,Raków Częstochowa,1,Warta Poznań,0,https://www.thesportsdb.com/images/media/event/thumb/67de6w1655758585.jpg
1572815,2022-07-15,1,Zagłębie Lubin,0,Śląsk Wrocław,0,https://www.thesportsdb.com/images/media/event/thumb/vph0zh1655758582.jpg
1572817,2022-07-16,1,Lech Poznań,0,Stal Mielec,2,https://www.thesportsdb.com/images/media/event/thumb/59j91q1655758583.jpg
1572814,2022-07-16,1,Jagiellonia Białystok,2,Piast Gliwice,0,https://www.thesportsdb.com/images/media/event/thumb/oyy3221655758582.jpg
1572816,2022-07-16,1,Korona Kielce,1,Legia Warszawa,1,https://www.thesportsdb.com/images/media/event/thumb/bxgoeh1655758583.jpg
1572820,2022-07-17,1,Radomiak Radom,1,Miedź Legnica,1,https://www.thesportsdb.com/images/media/event/thumb/n57d281655758584.jpg
1572822,2022-07-17,1,Wisła Płock,3,Lechia Gdańsk,0,https://www.thesportsdb.com/images/media/event/thumb/a0r4l81655758585.jpg
1572819,2022-07-17,1,Pogoń Szczecin,2,Widzew Łódź,1,https://www.thesportsdb.com/images/media/event/thumb/wn2xc21655758584.jpg
1572818,2022-07-18,1,Górnik Zabrze,0,Cracovia Kraków,2,https://www.thesportsdb.com/images/media/event/thumb/othld81655758584.jpg
1572830,2022-07-22,2,Warta Poznań,0,Wisła Płock,4,https://www.thesportsdb.com/images/media/event/thumb/low9521655758589.jpg
1572825,2022-07-22,2,Jagiellonia Białystok,0,Widzew Łódź,2,https://www.thesportsdb.com/images/media/event/thumb/52aj1i1655758587.jpg
1572823,2022-07-23,2,Cracovia Kraków,2,Korona Kielce,0,https://www.thesportsdb.com/images/media/event/thumb/o4ht8s1655758586.jpg
1572827,2022-07-23,2,Legia Warszawa,2,Zagłębie Lubin,0,https://www.thesportsdb.com/images/media/event/thumb/mtra6m1655758587.jpg
1572831,2022-07-24,2,Śląsk Wrocław,2,Pogoń Szczecin,1,https://www.thesportsdb.com/images/media/event/thumb/tkxkwv1655758589.jpg
1572829,2022-07-25,2,Stal Mielec,1,Radomiak Radom,1,https://www.thesportsdb.com/images/media/event/thumb/cemcja1655758588.jpg
1572833,2022-07-29,3,Piast Gliwice,0,Zagłębie Lubin,1,https://www.thesportsdb.com/images/media/event/thumb/dl2mvo1655758590.jpg
1572832,2022-07-29,3,Cracovia Kraków,3,Legia Warszawa,0,https://www.thesportsdb.com/images/media/event/thumb/xzk1kx1655758590.jpg
1572838,2022-07-30,3,Radomiak Radom,0,Górnik Zabrze,3,https://www.thesportsdb.com/images/media/event/thumb/fnq1rd1655758592.jpg
1572836,2022-07-30,3,Miedź Legnica,1,Warta Poznań,2,https://www.thesportsdb.com/images/media/event/thumb/0hoth41655758592.jpg
1572837,2022-07-31,3,Pogoń Szczecin,1,Jagiellonia Białystok,0,https://www.thesportsdb.com/images/media/event/thumb/h8jqop1655758592.jpg
1572835,2022-07-31,3,Lech Poznań,1,Wisła Płock,3,https://www.thesportsdb.com/images/media/event/thumb/a61qop1655758591.jpg
